# frame t_err(m) r_err(deg) dx dy dz
177 0.105092 1.757932 0.019991 0.022006 -0.100799
178 0.107234 1.777300 0.019480 0.029019 -0.101378
179 0.101250 1.671257 -0.000494 0.014430 -0.100215
180 0.100857 1.575513 0.007679 0.020839 -0.098381
181 0.104390 1.569629 0.000763 0.031915 -0.099389
182 0.122469 1.534013 -0.003602 0.052807 -0.110441
183 0.120987 1.594336 -0.001497 0.047695 -0.111179
184 0.116836 1.663885 -0.013456 0.038272 -0.109567
185 0.115151 1.584423 -0.018285 0.030527 -0.109515
186 0.117869 1.573539 -0.021833 0.030033 -0.111868
187 0.116096 1.565276 -0.010674 0.036878 -0.109565
188 0.115837 1.572323 -0.000621 0.041492 -0.108149
189 0.117240 1.537663 -0.003208 0.040295 -0.110052
190 0.115152 1.573972 -0.001455 0.034104 -0.109976
191 0.110385 1.555139 -0.004825 0.026321 -0.107093
192 0.114702 1.470807 -0.012505 0.018653 -0.112482
193 0.110812 1.429366 -0.020573 0.011378 -0.108290
194 0.108803 1.351641 -0.007022 0.008762 -0.108222
195 0.110607 1.442806 0.019969 0.011759 -0.108152
196 0.113312 1.534588 0.018412 0.017282 -0.110462
197 0.115906 1.613555 0.015126 0.029196 -0.111144
198 0.115926 1.604067 0.017668 0.019787 -0.112850
199 0.116498 1.739442 0.005443 0.022500 -0.114175
200 0.123442 1.673267 0.014900 0.034123 -0.117693
201 0.121473 1.708470 -0.008096 0.022856 -0.119029
202 0.122380 1.601394 -0.017162 0.022055 -0.119147
203 0.131839 1.539345 -0.022313 0.030776 -0.126240
204 0.131639 1.596512 0.009427 0.037913 -0.125708
205 0.136044 1.584539 -0.010222 0.045721 -0.127723
206 0.125664 1.543956 0.002003 0.033904 -0.120988
207 0.125647 1.552832 -0.026547 0.014809 -0.121915
208 0.121896 1.526627 0.014678 0.022770 -0.118847
209 0.122720 1.647726 0.025741 0.020896 -0.118156
210 0.124256 1.690926 0.036309 0.022772 -0.116630
211 0.123165 1.643617 0.011539 0.014193 -0.121799
212 0.116698 1.678395 0.019823 -0.008614 -0.114679
213 0.120429 1.612648 0.012821 -0.001842 -0.119730
214 0.124696 1.479058 0.030689 0.012393 -0.120223
215 0.127385 1.483735 0.011191 0.014873 -0.126018
216 0.118526 1.379140 -0.010418 -0.000197 -0.118067
217 0.122816 1.363807 -0.012462 -0.012537 -0.121538
218 0.121758 1.421509 -0.007795 -0.015416 -0.120527
219 0.121121 1.460519 -0.007410 -0.004310 -0.120818
220 0.129448 1.531694 -0.021125 -0.011963 -0.127151
221 0.126192 1.729592 -0.002183 -0.001157 -0.126168
222 0.131560 1.738137 0.010465 0.024531 -0.128828
223 0.129174 1.818046 0.006792 0.033538 -0.124560
224 0.124954 1.712912 0.008377 0.022529 -0.122620
225 0.125579 1.805597 0.009826 0.011906 -0.124627
226 0.126892 1.797219 0.000296 0.016051 -0.125872
227 0.131283 1.820111 0.020716 0.017403 -0.128464
228 0.137935 1.778891 0.022191 0.041723 -0.129587
229 0.157399 1.832903 0.038255 0.075083 -0.132942
230 0.141975 1.834220 -0.003447 0.039806 -0.136237
231 0.133339 1.913879 -0.010762 0.016540 -0.131871
232 0.131374 1.973714 -0.006444 -0.000767 -0.131214
233 0.147318 1.973578 0.023206 0.045156 -0.138293
234 0.154550 2.064623 0.051961 0.049634 -0.136829
