# fid r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz
2248 -0.81673 -0.56683 -0.10797 96.78657 0.55405 -0.82263 0.12767 -19.46192 -0.16118 0.04445 0.98592 4.40252
2249 -0.80909 -0.57761 -0.10834 96.83752 0.56521 -0.81530 0.12579 -19.38083 -0.16099 0.04054 0.98612 4.38784
2250 -0.80291 -0.58624 -0.10798 96.89633 0.57396 -0.80921 0.12553 -19.35658 -0.16097 0.03881 0.98620 4.39786
2251 -0.79967 -0.59060 -0.10823 96.94332 0.57834 -0.80608 0.12550 -19.31850 -0.16136 0.03776 0.98617 4.39793
2252 -0.79800 -0.59284 -0.10837 96.99539 0.58080 -0.80451 0.12426 -19.21800 -0.16085 0.03622 0.98631 4.39678
2253 -0.79579 -0.59583 -0.10819 97.04005 0.58396 -0.80235 0.12338 -19.10144 -0.16032 0.03501 0.98644 4.39291
2254 -0.79316 -0.59915 -0.10912 97.11035 0.58734 -0.79993 0.12304 -19.02809 -0.16101 0.03350 0.98638 4.37564
2255 -0.79254 -0.59999 -0.10907 97.16081 0.58828 -0.79933 0.12250 -18.99483 -0.16068 0.03292 0.98646 4.39839
2256 -0.79359 -0.59858 -0.10914 97.16947 0.58721 -0.80044 0.12029 -18.96653 -0.15936 0.03138 0.98672 4.40277
2257 -0.79444 -0.59730 -0.11002 97.21648 0.58606 -0.80145 0.11924 -18.90747 -0.15940 0.03025 0.98675 4.38627
2258 -0.79378 -0.59821 -0.10979 97.27662 0.58682 -0.80073 0.12026 -18.80851 -0.15985 0.03104 0.98665 4.38005
2259 -0.79334 -0.59871 -0.11025 97.32957 0.58735 -0.80039 0.12001 -18.72417 -0.16010 0.03045 0.98663 4.40428
2260 -0.79411 -0.59752 -0.11122 97.35594 0.58620 -0.80131 0.11948 -18.69015 -0.16051 0.02969 0.98659 4.38697
2261 -0.79418 -0.59696 -0.11363 97.42600 0.58559 -0.80177 0.11935 -18.64892 -0.16235 0.02825 0.98633 4.41381
2262 -0.79400 -0.59654 -0.11706 97.46464 0.58487 -0.80212 0.12057 -18.61524 -0.16582 0.02727 0.98578 4.45504
2263 -0.79345 -0.59671 -0.11990 97.54537 0.58488 -0.80204 0.12105 -18.50754 -0.16840 0.02592 0.98538 4.49561
2264 -0.79220 -0.59806 -0.12146 97.62742 0.58651 -0.80112 0.11923 -18.35698 -0.16861 0.02322 0.98541 4.54042
2265 -0.79112 -0.59942 -0.12175 97.68415 0.58848 -0.80019 0.11573 -18.24581 -0.16680 0.01991 0.98579 4.59408
2266 -0.79190 -0.59847 -0.12135 97.72562 0.58880 -0.80102 0.10813 -18.16423 -0.16192 0.01418 0.98670 4.69254
2267 -0.79235 -0.59722 -0.12453 97.78768 0.58795 -0.80202 0.10531 -18.05654 -0.16277 0.01023 0.98661 4.81036
2268 -0.79406 -0.59458 -0.12628 97.84268 0.58660 -0.80403 0.09711 -17.94450 -0.15927 0.00304 0.98723 4.83663
2269 -0.79530 -0.59316 -0.12514 97.89968 0.58491 -0.80507 0.09871 -17.90328 -0.15930 0.00530 0.98722 4.85189
2270 -0.79607 -0.59277 -0.12205 97.94145 0.58466 -0.80535 0.09792 -17.81077 -0.15634 0.00659 0.98768 4.83927
2271 -0.79624 -0.59258 -0.12187 97.98480 0.58410 -0.80547 0.10023 -17.74050 -0.15755 0.00862 0.98747 4.85016
2272 -0.79550 -0.59290 -0.12514 98.04174 0.58346 -0.80520 0.10597 -17.72426 -0.16359 0.01128 0.98646 4.76352
2273 -0.79554 -0.59204 -0.12884 98.14080 0.58098 -0.80574 0.11509 -17.72244 -0.17195 0.01671 0.98496 4.63288
2274 -0.79467 -0.59314 -0.12917 98.18845 0.58131 -0.80486 0.11954 -17.66147 -0.17487 0.01991 0.98439 4.62002
2275 -0.79556 -0.59178 -0.12993 98.25260 0.57976 -0.80584 0.12040 -17.56803 -0.17595 0.02046 0.98419 4.62538
2276 -0.79519 -0.59182 -0.13200 98.31565 0.57977 -0.80584 0.12038 -17.47360 -0.17761 0.01919 0.98391 4.65360
2277 -0.79389 -0.59313 -0.13397 98.39770 0.58149 -0.80495 0.11799 -17.35986 -0.17782 0.01577 0.98394 4.62795
2278 -0.79564 -0.59013 -0.13673 98.43088 0.57904 -0.80722 0.11449 -17.36091 -0.17793 0.01192 0.98397 4.59701
2279 -0.79665 -0.58815 -0.13942 98.46378 0.57718 -0.80869 0.11351 -17.35804 -0.17951 0.00996 0.98371 4.60413
2280 -0.79420 -0.59136 -0.13981 98.53276 0.58046 -0.80636 0.11338 -17.21706 -0.17978 0.00889 0.98367 4.58010
2281 -0.79486 -0.58999 -0.14184 98.59473 0.57934 -0.80738 0.11178 -17.15657 -0.18046 0.00667 0.98356 4.61179
2282 -0.79373 -0.59180 -0.14058 98.66798 0.58070 -0.80603 0.11447 -17.03486 -0.18105 0.00922 0.98343 4.64150
2283 -0.79579 -0.58879 -0.14156 98.68758 0.57767 -0.80823 0.11426 -17.01111 -0.18169 0.00915 0.98331 4.65451
2284 -0.79722 -0.58634 -0.14370 98.74824 0.57544 -0.81003 0.11275 -16.96288 -0.18251 0.00720 0.98318 4.65435
2285 -0.79888 -0.58389 -0.14447 98.82049 0.57337 -0.81182 0.11042 -16.87185 -0.18176 0.00538 0.98333 4.60351
2286 -0.80090 -0.58176 -0.14180 98.86034 0.57117 -0.81332 0.11075 -16.83382 -0.17977 0.00771 0.98368 4.56681
2287 -0.80234 -0.57996 -0.14109 98.90163 0.56878 -0.81457 0.11383 -16.78124 -0.18094 0.01108 0.98343 4.52726
2288 -0.80214 -0.58010 -0.14164 98.96466 0.56863 -0.81446 0.11538 -16.70773 -0.18229 0.01201 0.98317 4.50421
2289 -0.80099 -0.58140 -0.14282 99.02535 0.56962 -0.81353 0.11706 -16.63562 -0.18425 0.01241 0.98280 4.49672
2290 -0.79889 -0.58423 -0.14303 99.07830 0.57228 -0.81149 0.11823 -16.54581 -0.18514 0.01260 0.98263 4.50125
2291 -0.80084 -0.58119 -0.14445 99.10703 0.56925 -0.81367 0.11784 -16.52341 -0.18602 0.01214 0.98247 4.52391
2292 -0.79948 -0.58375 -0.14165 99.14997 0.57198 -0.81183 0.11733 -16.41771 -0.18349 0.01278 0.98294 4.57286
2293 -0.80192 -0.58114 -0.13858 99.19880 0.56967 -0.81369 0.11574 -16.34026 -0.18002 0.01387 0.98356 4.60856
2294 -0.80237 -0.58045 -0.13886 99.26798 0.56935 -0.81420 0.11365 -16.21179 -0.17903 0.01213 0.98377 4.65112
2295 -0.80338 -0.57846 -0.14133 99.33021 0.56762 -0.81566 0.11183 -16.17037 -0.17997 0.00962 0.98363 4.63479
2296 -0.80356 -0.57820 -0.14135 99.37816 0.56674 -0.81580 0.11526 -16.14642 -0.18196 0.01251 0.98323 4.61081
2297 -0.80350 -0.57868 -0.13973 99.41830 0.56758 -0.81547 0.11342 -16.06778 -0.17957 0.01182 0.98367 4.64450
2298 -0.80394 -0.57851 -0.13788 99.46027 0.56718 -0.81555 0.11479 -15.99514 -0.17885 0.01408 0.98378 4.66100
2299 -0.80442 -0.57843 -0.13536 99.50604 0.56695 -0.81557 0.11584 -15.90494 -0.17740 0.01644 0.98400 4.67440
2300 -0.80545 -0.57734 -0.13390 99.56335 0.56569 -0.81630 0.11684 -15.82202 -0.17676 0.01836 0.98408 4.69863
2301 -0.80642 -0.57591 -0.13423 99.60469 0.56416 -0.81729 0.11729 -15.77475 -0.17725 0.01886 0.98399 4.68265
2302 -0.80665 -0.57514 -0.13613 99.68195 0.56389 -0.81791 0.11424 -15.68045 -0.17705 0.01539 0.98408 4.64129
2303 -0.80832 -0.57335 -0.13375 99.72882 0.56156 -0.81907 0.11736 -15.60069 -0.17684 0.01976 0.98404 4.61692
2304 -0.80919 -0.57247 -0.13224 99.79398 0.56009 -0.81959 0.12072 -15.52963 -0.17749 0.02362 0.98384 4.56790
2305 -0.80890 -0.57302 -0.13164 99.86807 0.56008 -0.81911 0.12399 -15.44788 -0.17888 0.02656 0.98351 4.51567
2306 -0.81016 -0.57184 -0.12902 99.92508 0.55794 -0.81970 0.12959 -15.39207 -0.17986 0.03300 0.98314 4.52819
2307 -0.81067 -0.57224 -0.12391 99.94342 0.55724 -0.81902 0.13670 -15.33970 -0.17971 0.04177 0.98283 4.60946
2308 -0.81029 -0.57300 -0.12289 100.02041 0.55754 -0.81834 0.13951 -15.24791 -0.18051 0.04453 0.98256 4.59521
2309 -0.81139 -0.57110 -0.12448 100.08881 0.55604 -0.81981 0.13684 -15.16501 -0.18020 0.04181 0.98274 4.56766
2310 -0.81259 -0.56886 -0.12688 100.13522 0.55420 -0.82153 0.13401 -15.09107 -0.18047 0.03858 0.98282 4.54709
2311 -0.81279 -0.56851 -0.12715 100.19982 0.55409 -0.82183 0.13261 -14.97567 -0.17988 0.03733 0.98298 4.53508
2312 -0.81324 -0.56798 -0.12667 100.25266 0.55351 -0.82217 0.13290 -14.90853 -0.17963 0.03797 0.98300 4.55390
2313 -0.81339 -0.56786 -0.12624 100.31455 0.55307 -0.82216 0.13478 -14.83961 -0.18033 0.03981 0.98280 4.57519
2314 -0.81394 -0.56785 -0.12268 100.31836 0.55252 -0.82190 0.13858 -14.76023 -0.17952 0.04501 0.98272 4.61054
2315 -0.81541 -0.56637 -0.11977 100.35127 0.55057 -0.82265 0.14183 -14.70844 -0.17886 0.04971 0.98262 4.64437
2316 -0.81535 -0.56678 -0.11814 100.37609 0.55034 -0.82210 0.14587 -14.68066 -0.17980 0.05392 0.98222 4.67655
2317 -0.81582 -0.56581 -0.11957 100.44339 0.54946 -0.82287 0.14485 -14.58841 -0.18035 0.05247 0.98220 4.68543
2318 -0.81652 -0.56418 -0.12246 100.51502 0.54775 -0.82409 0.14439 -14.51550 -0.18238 0.05082 0.98191 4.66659
2319 -0.81688 -0.56409 -0.12043 100.55852 0.54750 -0.82400 0.14587 -14.40809 -0.18152 0.05322 0.98195 4.69279
2320 -0.81805 -0.56259 -0.11950 100.58402 0.54622 -0.82502 0.14487 -14.33965 -0.18009 0.05324 0.98221 4.69655
2321 -0.81891 -0.56142 -0.11914 100.62899 0.54526 -0.82585 0.14375 -14.26701 -0.17910 0.05276 0.98242 4.68044
2322 -0.81916 -0.56100 -0.11940 100.67382 0.54494 -0.82617 0.14313 -14.18889 -0.17894 0.05218 0.98248 4.68656
2323 -0.81958 -0.56031 -0.11976 100.72207 0.54405 -0.82659 0.14412 -14.12259 -0.17974 0.05296 0.98229 4.68678
2324 -0.82048 -0.55909 -0.11930 100.77183 0.54243 -0.82726 0.14633 -14.03967 -0.18050 0.05534 0.98202 4.71461
2325 -0.82033 -0.55924 -0.11959 100.83314 0.54240 -0.82712 0.14725 -13.94406 -0.18126 0.05593 0.98184 4.74590
2326 -0.82139 -0.55764 -0.11982 100.86336 0.54061 -0.82813 0.14813 -13.89920 -0.18182 0.05690 0.98168 4.77019
2327 -0.82178 -0.55680 -0.12099 100.92458 0.53991 -0.82879 0.14696 -13.81509 -0.18210 0.05544 0.98172 4.76646
2328 -0.82188 -0.55656 -0.12148 100.98287 0.53939 -0.82889 0.14829 -13.70448 -0.18323 0.05635 0.98145 4.78239
2329 -0.82363 -0.55385 -0.12196 101.02973 0.53673 -0.83071 0.14780 -13.61864 -0.18317 0.05627 0.98147 4.76444
2330 -0.82336 -0.55434 -0.12163 101.11841 0.53774 -0.83054 0.14507 -13.52748 -0.18144 0.05404 0.98192 4.71841
2331 -0.82297 -0.55502 -0.12115 101.18237 0.53822 -0.83000 0.14637 -13.41846 -0.18179 0.05525 0.98178 4.74016
2332 -0.82303 -0.55491 -0.12123 101.21999 0.53833 -0.83015 0.14510 -13.37343 -0.18115 0.05416 0.98196 4.74542
2333 -0.82265 -0.55583 -0.11958 101.23854 0.53927 -0.82946 0.14557 -13.31999 -0.18009 0.05527 0.98210 4.77522
2334 -0.82173 -0.55675 -0.12164 101.28842 0.53987 -0.82886 0.14673 -13.28342 -0.18252 0.05490 0.98167 4.76798
2335 -0.82246 -0.55495 -0.12487 101.30171 0.53742 -0.83003 0.14909 -13.25653 -0.18638 0.05551 0.98091 4.73262
2336 -0.82353 -0.55276 -0.12748 101.34521 0.53423 -0.83130 0.15340 -13.27106 -0.19077 0.05823 0.97991 4.65788
2337 -0.82203 -0.55452 -0.12953 101.47228 0.53603 -0.83028 0.15265 -13.15294 -0.19219 0.05605 0.97976 4.57155
2338 -0.82463 -0.55081 -0.12879 101.53466 0.53211 -0.83259 0.15378 -13.08983 -0.19193 0.05828 0.97968 4.53956
2339 -0.82569 -0.54948 -0.12773 101.58304 0.53033 -0.83325 0.15633 -13.01029 -0.19233 0.06135 0.97941 4.49274
2340 -0.82583 -0.54949 -0.12679 101.67019 0.52959 -0.83294 0.16045 -12.91882 -0.19377 0.06536 0.97887 4.39669
2341 -0.82662 -0.54887 -0.12425 101.69970 0.52842 -0.83297 0.16410 -12.84631 -0.19356 0.07000 0.97859 4.39439
2342 -0.82675 -0.54883 -0.12360 101.76372 0.52852 -0.83301 0.16360 -12.74139 -0.19274 0.06993 0.97875 4.41532
2343 -0.82693 -0.54836 -0.12445 101.77545 0.52953 -0.83388 0.15570 -12.63325 -0.18916 0.06286 0.97993 4.50704
2344 -0.82746 -0.54781 -0.12330 101.81607 0.53073 -0.83472 0.14689 -12.49943 -0.18339 0.05611 0.98144 4.69850
2345 -0.82861 -0.54668 -0.12057 101.83594 0.53137 -0.83583 0.13797 -12.35277 -0.17620 0.05025 0.98307 4.85972
2346 -0.82944 -0.54669 -0.11468 101.88274 0.53208 -0.83574 0.13572 -12.17712 -0.17004 0.05155 0.98409 4.97926
2347 -0.83070 -0.54493 -0.11401 101.92097 0.53012 -0.83678 0.13697 -12.15158 -0.17004 0.05335 0.98399 5.00985
2348 -0.83148 -0.54362 -0.11451 101.96818 0.52936 -0.83781 0.13362 -12.07174 -0.16858 0.05049 0.98439 5.00084
2349 -0.83051 -0.54519 -0.11417 102.01967 0.53089 -0.83679 0.13395 -11.96800 -0.16856 0.05063 0.98439 4.96176
2350 -0.83101 -0.54399 -0.11619 102.07369 0.52891 -0.83741 0.13783 -11.94384 -0.17228 0.05308 0.98362 4.90707
2351 -0.83185 -0.54255 -0.11688 102.13505 0.52622 -0.83797 0.14457 -11.92281 -0.17638 0.05875 0.98257 4.87410
2352 -0.83085 -0.54403 -0.11715 102.18721 0.52690 -0.83677 0.14898 -11.85358 -0.17907 0.06205 0.98188 4.81797
2353 -0.83310 -0.54129 -0.11379 102.22632 0.52351 -0.83805 0.15367 -11.84960 -0.17854 0.06845 0.98155 4.74335
2354 -0.83363 -0.54118 -0.11039 102.27723 0.52400 -0.83810 0.15169 -11.79569 -0.17461 0.06861 0.98224 4.65980
2355 -0.83445 -0.54012 -0.10941 102.31564 0.52301 -0.83873 0.15162 -11.73594 -0.17366 0.06930 0.98236 4.63705
2356 -0.83515 -0.53878 -0.11065 102.36633 0.52202 -0.83980 0.14912 -11.64825 -0.17326 0.06678 0.98261 4.65369
2357 -0.83522 -0.53828 -0.11252 102.41457 0.52181 -0.84035 0.14675 -11.58248 -0.17355 0.06385 0.98275 4.64809
2358 -0.83541 -0.53771 -0.11387 102.48157 0.52127 -0.84080 0.14606 -11.50397 -0.17428 0.06266 0.98270 4.62425
2359 -0.83521 -0.53757 -0.11591 102.56273 0.52104 -0.84098 0.14582 -11.38454 -0.17587 0.06140 0.98250 4.57772
2360 -0.83468 -0.53713 -0.12166 102.67192 0.51919 -0.84112 0.15149 -11.30035 -0.18370 0.06329 0.98094 4.41811
2361 -0.83349 -0.53755 -0.12780 102.77965 0.51834 -0.84082 0.15605 -11.24861 -0.19134 0.06382 0.97945 4.25060
2362 -0.83350 -0.53749 -0.12796 102.81556 0.51814 -0.84081 0.15678 -11.20541 -0.19186 0.06437 0.97931 4.27209
2363 -0.83532 -0.53439 -0.12909 102.84345 0.51521 -0.84287 0.15536 -11.17031 -0.19182 0.06327 0.97939 4.25940
2364 -0.83730 -0.53142 -0.12855 102.87208 0.51236 -0.84471 0.15476 -11.13147 -0.19083 0.06371 0.97955 4.27995
2365 -0.83730 -0.53154 -0.12803 102.91513 0.51229 -0.84454 0.15592 -11.05025 -0.19101 0.06496 0.97944 4.30045
2366 -0.83735 -0.53170 -0.12702 102.94881 0.51210 -0.84425 0.15809 -10.99947 -0.19129 0.06733 0.97922 4.31328
2367 -0.83793 -0.53154 -0.12385 102.98466 0.51164 -0.84402 0.16079 -10.90586 -0.18999 0.07136 0.97919 4.33712
2368 -0.83719 -0.53317 -0.12186 103.03405 0.51358 -0.84299 0.15999 -10.77601 -0.18802 0.07136 0.97957 4.39876
2369 -0.83730 -0.53313 -0.12122 103.07828 0.51392 -0.84311 0.15829 -10.70180 -0.18659 0.07024 0.97992 4.44321
2370 -0.83864 -0.52976 -0.12667 103.12504 0.51065 -0.84559 0.15560 -10.70026 -0.18954 0.06580 0.97967 4.40325
2371 -0.83793 -0.52962 -0.13185 103.19626 0.50980 -0.84577 0.15741 -10.62779 -0.19489 0.06468 0.97869 4.36092
2372 -0.83837 -0.52851 -0.13342 103.26363 0.50884 -0.84658 0.15613 -10.49410 -0.19547 0.06300 0.97868 4.39639
2373 -0.83902 -0.52741 -0.13373 103.36569 0.50867 -0.84756 0.15130 -10.36283 -0.19315 0.05892 0.97940 4.46170
2374 -0.84001 -0.52601 -0.13307 103.39759 0.50746 -0.84845 0.15040 -10.27781 -0.19201 0.05881 0.97963 4.48725
2375 -0.83987 -0.52517 -0.13719 103.42038 0.50785 -0.84950 0.14292 -10.20451 -0.19160 0.05036 0.98018 4.44936
2376 -0.83982 -0.52466 -0.13942 103.49520 0.50839 -0.85016 0.13696 -10.12495 -0.19039 0.04414 0.98072 4.41672
2377 -0.84069 -0.52359 -0.13817 103.51893 0.50708 -0.85071 0.13839 -10.08619 -0.19000 0.04628 0.98069 4.42527
2378 -0.84142 -0.52272 -0.13704 103.55730 0.50580 -0.85109 0.14079 -10.03619 -0.19023 0.04915 0.98051 4.43704
2379 -0.84046 -0.52422 -0.13718 103.62432 0.50728 -0.85018 0.14091 -9.91871 -0.19049 0.04884 0.98047 4.42917
2380 -0.84102 -0.52367 -0.13582 103.65250 0.50695 -0.85051 0.14013 -9.85370 -0.18890 0.04899 0.98077 4.41091
2381 -0.84298 -0.52016 -0.13719 103.70436 0.50348 -0.85269 0.13936 -9.80244 -0.18947 0.04840 0.98069 4.36712
2382 -0.84422 -0.51697 -0.14157 103.75325 0.50055 -0.85484 0.13674 -9.73149 -0.19171 0.04457 0.98044 4.24596
2383 -0.84464 -0.51636 -0.14125 103.83897 0.49988 -0.85518 0.13709 -9.65486 -0.19158 0.04519 0.98044 4.13875
2384 -0.84451 -0.51678 -0.14049 103.88037 0.50010 -0.85486 0.13827 -9.58649 -0.19155 0.04651 0.98038 4.09387
2385 -0.84579 -0.51437 -0.14164 103.92740 0.49811 -0.85643 0.13571 -9.51891 -0.19111 0.04423 0.98057 4.06863
2386 -0.84567 -0.51154 -0.15223 104.05479 0.49840 -0.85894 0.11759 -9.30668 -0.19091 0.02357 0.98133 3.87286
2387 -0.84606 -0.50500 -0.17075 104.24217 0.49707 -0.86307 0.08956 -9.08016 -0.19260 -0.00911 0.98124 3.60384
2388 -0.84604 -0.50249 -0.17813 104.31617 0.49767 -0.86420 0.07410 -8.89953 -0.19117 -0.02596 0.98121 3.62741
2389 -0.84782 -0.49957 -0.17786 104.32761 0.49554 -0.86579 0.06967 -8.81460 -0.18879 -0.02907 0.98159 3.74051
2390 -0.84713 -0.49933 -0.18178 104.39774 0.49581 -0.86579 0.06769 -8.71631 -0.19118 -0.03278 0.98101 3.69008
2391 -0.84710 -0.49910 -0.18254 104.46393 0.49488 -0.86603 0.07136 -8.65276 -0.19370 -0.02989 0.98061 3.67169
2392 -0.84875 -0.49760 -0.17892 104.45589 0.49168 -0.86716 0.07925 -8.64339 -0.19459 -0.02071 0.98067 3.67424
2393 -0.85026 -0.49361 -0.18278 104.49033 0.48740 -0.86944 0.08070 -8.63002 -0.19875 -0.02048 0.97984 3.61631
2394 -0.85042 -0.49337 -0.18269 104.52444 0.48659 -0.86964 0.08343 -8.52943 -0.20004 -0.01794 0.97962 3.65845
2395 -0.85127 -0.49173 -0.18311 104.57343 0.48499 -0.87056 0.08311 -8.44466 -0.20028 -0.01806 0.97957 3.65544
2396 -0.85271 -0.48947 -0.18250 104.62786 0.48261 -0.87186 0.08337 -8.33636 -0.19993 -0.01698 0.97966 3.65885
2397 -0.85232 -0.48972 -0.18366 104.67439 0.48282 -0.87171 0.08373 -8.26479 -0.20110 -0.01731 0.97942 3.66442
2398 -0.85327 -0.48826 -0.18312 104.71502 0.48144 -0.87253 0.08313 -8.19434 -0.20037 -0.01723 0.97957 3.68282
2399 -0.85385 -0.48691 -0.18399 104.74804 0.48061 -0.87323 0.08053 -8.16506 -0.19988 -0.01966 0.97962 3.66797
2400 -0.85455 -0.48497 -0.18588 104.79385 0.47923 -0.87424 0.07776 -8.07361 -0.20021 -0.02263 0.97949 3.65806
2401 -0.85374 -0.48514 -0.18915 104.85340 0.48010 -0.87402 0.07476 -7.97512 -0.20159 -0.02698 0.97910 3.63931
2402 -0.85368 -0.48442 -0.19120 104.92538 0.47978 -0.87434 0.07305 -7.87535 -0.20257 -0.02937 0.97883 3.62759
2403 -0.85456 -0.48302 -0.19085 104.95717 0.47844 -0.87512 0.07253 -7.80746 -0.20205 -0.02933 0.97894 3.64711
2404 -0.85591 -0.48144 -0.18877 105.00236 0.47678 -0.87603 0.07244 -7.72382 -0.20025 -0.02800 0.97935 3.65002
2405 -0.85733 -0.48055 -0.18454 105.02248 0.47533 -0.87664 0.07455 -7.68223 -0.19760 -0.02380 0.97999 3.67378
2406 -0.85851 -0.48045 -0.17926 105.01943 0.47418 -0.87686 0.07919 -7.64432 -0.19523 -0.01702 0.98061 3.70023
2407 -0.85842 -0.47971 -0.18166 105.14226 0.47427 -0.87716 0.07522 -7.51378 -0.19542 -0.02159 0.98048 3.64364
2408 -0.85934 -0.47824 -0.18117 105.16574 0.47247 -0.87801 0.07662 -7.45072 -0.19571 -0.01975 0.98046 3.69622
2409 -0.86018 -0.47593 -0.18322 105.21146 0.47096 -0.87916 0.07263 -7.36657 -0.19565 -0.02381 0.98038 3.70508
2410 -0.86091 -0.47543 -0.18111 105.24961 0.47068 -0.87943 0.07118 -7.27498 -0.19312 -0.02396 0.98088 3.70736
2411 -0.86229 -0.47341 -0.17980 105.26570 0.46848 -0.88056 0.07174 -7.24030 -0.19229 -0.02237 0.98108 3.72881
2412 -0.86276 -0.47116 -0.18342 105.30343 0.46689 -0.88165 0.06860 -7.19621 -0.19403 -0.02645 0.98064 3.71858
2413 -0.86304 -0.47179 -0.18052 105.34886 0.46758 -0.88134 0.06793 -7.10189 -0.19114 -0.02578 0.98122 3.75941
2414 -0.86300 -0.47153 -0.18133 105.39586 0.46722 -0.88148 0.06855 -7.00967 -0.19216 -0.02556 0.98103 3.75189
2415 -0.86229 -0.47301 -0.18086 105.46431 0.46852 -0.88071 0.06961 -6.88464 -0.19221 -0.02471 0.98104 3.73620
2416 -0.86377 -0.47018 -0.18121 105.50314 0.46559 -0.88224 0.06981 -6.82523 -0.19270 -0.02407 0.98096 3.72614
2417 -0.86444 -0.46853 -0.18226 105.56144 0.46376 -0.88314 0.07065 -6.73007 -0.19407 -0.02345 0.98071 3.72910
2418 -0.86547 -0.46640 -0.18285 105.60368 0.46191 -0.88423 0.06909 -6.66947 -0.19391 -0.02466 0.98071 3.71858
2419 -0.86601 -0.46516 -0.18346 105.64222 0.46079 -0.88487 0.06845 -6.59604 -0.19417 -0.02525 0.98064 3.73091
2420 -0.86671 -0.46407 -0.18291 105.69204 0.45979 -0.88543 0.06783 -6.51057 -0.19343 -0.02531 0.98079 3.72871
2421 -0.86725 -0.46432 -0.17970 105.72378 0.45976 -0.88537 0.06884 -6.42038 -0.19106 -0.02291 0.98131 3.79677
2422 -0.86820 -0.46356 -0.17701 105.76441 0.45909 -0.88578 0.06796 -6.33973 -0.18829 -0.02226 0.98186 3.78360
2423 -0.86840 -0.46376 -0.17551 105.80047 0.45927 -0.88570 0.06789 -6.24648 -0.18693 -0.02165 0.98213 3.80963
2424 -0.86826 -0.46395 -0.17571 105.84893 0.45967 -0.88557 0.06682 -6.15352 -0.18661 -0.02275 0.98217 3.80632
2425 -0.86872 -0.46303 -0.17586 105.89065 0.45885 -0.88604 0.06625 -6.08792 -0.18650 -0.02314 0.98218 3.79724
2426 -0.86912 -0.46250 -0.17528 105.91629 0.45815 -0.88635 0.06701 -6.01896 -0.18635 -0.02206 0.98224 3.81020
2427 -0.87013 -0.46031 -0.17604 105.96419 0.45620 -0.88745 0.06561 -5.96695 -0.18643 -0.02322 0.98219 3.80878
2428 -0.87065 -0.45851 -0.17817 106.01358 0.45444 -0.88837 0.06550 -5.90149 -0.18831 -0.02394 0.98182 3.77674
2429 -0.87081 -0.45813 -0.17837 106.04809 0.45333 -0.88865 0.06925 -5.81950 -0.19024 -0.02056 0.98152 3.81557
2430 -0.87029 -0.45801 -0.18114 106.11597 0.45291 -0.88872 0.07109 -5.74921 -0.19354 -0.02018 0.98088 3.74615
2431 -0.87052 -0.45823 -0.17951 106.13807 0.45258 -0.88867 0.07373 -5.68357 -0.19331 -0.01706 0.98099 3.73012
2432 -0.87143 -0.45758 -0.17672 106.18407 0.45121 -0.88908 0.07712 -5.62373 -0.19241 -0.01254 0.98123 3.69697
2433 -0.87193 -0.45652 -0.17699 106.20571 0.45019 -0.88962 0.07683 -5.58708 -0.19253 -0.01269 0.98121 3.68147
2434 -0.87283 -0.45384 -0.17944 106.25888 0.44780 -0.89096 0.07524 -5.51491 -0.19402 -0.01469 0.98089 3.66241
2435 -0.87331 -0.45141 -0.18321 106.28198 0.44578 -0.89214 0.07322 -5.44778 -0.19650 -0.01772 0.98034 3.65896
2436 -0.87311 -0.44984 -0.18796 106.35245 0.44509 -0.89281 0.06920 -5.35529 -0.19894 -0.02325 0.97974 3.67213
2437 -0.87280 -0.44968 -0.18977 106.40169 0.44635 -0.89268 0.06247 -5.23365 -0.19749 -0.03018 0.97984 3.73085
2438 -0.87360 -0.44859 -0.18866 106.44797 0.44568 -0.89318 0.06003 -5.11466 -0.19544 -0.03165 0.98021 3.79626
2439 -0.87409 -0.44846 -0.18670 106.47125 0.44512 -0.89333 0.06187 -5.05878 -0.19453 -0.02903 0.98047 3.79914
2440 -0.87376 -0.44877 -0.18745 106.52905 0.44453 -0.89329 0.06653 -4.98881 -0.19731 -0.02519 0.98002 3.73672
2441 -0.87474 -0.44816 -0.18434 106.55557 0.44344 -0.89368 0.06849 -4.92070 -0.19543 -0.02183 0.98047 3.75156
2442 -0.87667 -0.44494 -0.18298 106.58865 0.44044 -0.89529 0.06684 -4.84412 -0.19356 -0.02200 0.98084 3.75322
2443 -0.87726 -0.44365 -0.18327 106.61746 0.43959 -0.89588 0.06450 -4.76638 -0.19280 -0.02398 0.98094 3.78651
2444 -0.87774 -0.44475 -0.17826 106.62102 0.44036 -0.89541 0.06571 -4.70576 -0.18885 -0.02082 0.98179 3.86991
2445 -0.87745 -0.44775 -0.17205 106.67900 0.44286 -0.89400 0.06803 -4.58746 -0.18427 -0.01650 0.98274 3.86083
2446 -0.87650 -0.44960 -0.17205 106.74937 0.44440 -0.89310 0.06988 -4.51963 -0.18507 -0.01521 0.98261 3.80243
2447 -0.87322 -0.45497 -0.17460 106.76075 0.44913 -0.89040 0.07396 -4.48975 -0.18911 -0.01383 0.98186 3.77348
2448 -0.86891 -0.46225 -0.17695 106.81867 0.45683 -0.88657 0.07276 -4.43491 -0.19051 -0.01762 0.98153 3.73131
