# fid r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz
123 0.99969 -0.00539 -0.02430 -0.49897 0.00579 0.99985 0.01653 -3.81669 0.02421 -0.01667 0.99957 -0.04195
124 0.99964 -0.00457 -0.02630 -0.49911 0.00494 0.99989 0.01400 -3.87019 0.02624 -0.01413 0.99956 -0.04698
125 0.99962 -0.00829 -0.02643 -0.47964 0.00863 0.99988 0.01269 -3.88449 0.02632 -0.01291 0.99957 -0.04780
126 0.99958 -0.01154 -0.02649 -0.45546 0.01183 0.99987 0.01114 -3.92032 0.02636 -0.01145 0.99959 -0.04591
127 0.99950 -0.01420 -0.02815 -0.49832 0.01448 0.99985 0.00973 -3.98047 0.02800 -0.01014 0.99956 -0.05110
128 0.99954 -0.01340 -0.02716 -0.51645 0.01364 0.99987 0.00886 -4.03484 0.02704 -0.00923 0.99959 -0.04607
129 0.99953 -0.01159 -0.02838 -0.47334 0.01190 0.99987 0.01064 -4.06326 0.02825 -0.01097 0.99954 -0.04548
130 0.99952 -0.01347 -0.02789 -0.47399 0.01378 0.99985 0.01077 -4.10250 0.02774 -0.01115 0.99955 -0.04275
131 0.99945 -0.01356 -0.03038 -0.46547 0.01393 0.99983 0.01213 -4.12669 0.03021 -0.01255 0.99946 -0.03630
132 0.99931 -0.01550 -0.03389 -0.49984 0.01599 0.99977 0.01429 -4.17116 0.03366 -0.01483 0.99932 -0.03392
133 0.99930 -0.01759 -0.03288 -0.51328 0.01799 0.99976 0.01220 -4.19959 0.03265 -0.01278 0.99938 -0.04494
134 0.99945 -0.01506 -0.02958 -0.48554 0.01538 0.99983 0.01038 -4.25956 0.02942 -0.01082 0.99951 -0.04740
135 0.99938 -0.01749 -0.03058 -0.48544 0.01783 0.99978 0.01062 -4.29169 0.03039 -0.01116 0.99948 -0.03907
136 0.99941 -0.01735 -0.02978 -0.49625 0.01767 0.99979 0.01043 -4.32843 0.02960 -0.01095 0.99950 -0.04110
137 0.99943 -0.01829 -0.02838 -0.50532 0.01862 0.99976 0.01136 -4.36312 0.02816 -0.01188 0.99953 -0.04245
138 0.99951 -0.01553 -0.02709 -0.49374 0.01584 0.99981 0.01121 -4.41572 0.02691 -0.01164 0.99957 -0.04067
139 0.99955 -0.01639 -0.02507 -0.49764 0.01671 0.99978 0.01269 -4.44574 0.02486 -0.01310 0.99961 -0.04210
140 0.99963 -0.01495 -0.02290 -0.48941 0.01529 0.99977 0.01493 -4.49093 0.02267 -0.01527 0.99963 -0.03762
141 0.99966 -0.01521 -0.02117 -0.47807 0.01557 0.99974 0.01687 -4.52347 0.02090 -0.01720 0.99963 -0.04039
142 0.99962 -0.01729 -0.02128 -0.49494 0.01765 0.99970 0.01709 -4.55490 0.02098 -0.01746 0.99963 -0.04281
143 0.99958 -0.01754 -0.02325 -0.48518 0.01789 0.99973 0.01473 -4.58829 0.02299 -0.01514 0.99962 -0.03953
144 0.99946 -0.02001 -0.02601 -0.50005 0.02039 0.99969 0.01433 -4.63842 0.02571 -0.01486 0.99956 -0.04112
145 0.99948 -0.01816 -0.02648 -0.48941 0.01854 0.99973 0.01407 -4.68287 0.02622 -0.01456 0.99955 -0.03468
146 0.99943 -0.01903 -0.02799 -0.50010 0.01944 0.99971 0.01432 -4.72064 0.02771 -0.01486 0.99951 -0.03565
147 0.99935 -0.01947 -0.03031 -0.49173 0.01987 0.99972 0.01300 -4.73351 0.03005 -0.01360 0.99946 -0.03798
148 0.99930 -0.01954 -0.03176 -0.50388 0.01990 0.99974 0.01118 -4.78986 0.03153 -0.01180 0.99943 -0.04375
149 0.99932 -0.01856 -0.03193 -0.49710 0.01890 0.99977 0.01051 -4.82927 0.03172 -0.01111 0.99943 -0.03312
150 0.99937 -0.01803 -0.03064 -0.49755 0.01840 0.99976 0.01159 -4.88805 0.03042 -0.01214 0.99946 -0.03675
151 0.99930 -0.01999 -0.03156 -0.50015 0.02036 0.99973 0.01153 -4.90166 0.03132 -0.01216 0.99944 -0.03896
152 0.99930 -0.01997 -0.03149 -0.48580 0.02031 0.99974 0.01035 -4.94800 0.03128 -0.01099 0.99945 -0.03631
153 0.99925 -0.02166 -0.03199 -0.50730 0.02205 0.99969 0.01181 -4.99159 0.03172 -0.01251 0.99942 -0.03601
154 0.99921 -0.02206 -0.03320 -0.49289 0.02248 0.99967 0.01221 -5.02184 0.03292 -0.01295 0.99937 -0.03449
155 0.99918 -0.02395 -0.03265 -0.49637 0.02439 0.99962 0.01306 -5.05880 0.03232 -0.01385 0.99938 -0.03658
156 0.99910 -0.02481 -0.03441 -0.51544 0.02516 0.99963 0.00999 -5.09685 0.03415 -0.01085 0.99936 -0.04086
157 0.99920 -0.02301 -0.03282 -0.49715 0.02333 0.99968 0.00941 -5.14933 0.03259 -0.01016 0.99942 -0.03613
158 0.99907 -0.02653 -0.03386 -0.50609 0.02687 0.99959 0.00956 -5.18427 0.03359 -0.01046 0.99938 -0.03586
159 0.99901 -0.02916 -0.03352 -0.49016 0.02950 0.99952 0.00975 -5.20805 0.03322 -0.01073 0.99939 -0.03581
160 0.99900 -0.03102 -0.03220 -0.49779 0.03133 0.99947 0.00895 -5.26949 0.03191 -0.00995 0.99944 -0.03545
161 0.99890 -0.03341 -0.03298 -0.50764 0.03377 0.99937 0.01058 -5.31497 0.03261 -0.01169 0.99940 -0.03354
